Word,Most Repeated Number,Count
Kingdom,50,2
led,2,3
International,2,3
several,2,3
birth,50,2
granted,2,3
application,2,3
&,2,2
began,2,3
3,2,3
1893,2,3
design.,2,3
open,2,3
During,2,3
1897,2,3
brand,2,2
30,50,2
either,2,2
works,2,1
longer,2,3
later,2,2
placed,2,1
small,2,3
market,2,3
Peugeot,2,3
six,2,3
days,50,2
Selden,2,3
16,2,3
Henry,2,3
Springfield,2,3
followed,2,3
came,2,3
right,50,2
various,50,2
off,2,3
Japan,2,3
worker,2,3
high,2,3
efficiency,2,3
Germany,2,3
technology,2,2
manufacturers,2,3
volume,50,2
numbers,2,2
uses,50,2
products,50,2
take,52,2
become,2,2
plan,2,2
limit,2,2
emissions,2,3
energy,2,3
equipped,2,3
brake,2,3
original,50,2
light,2,3
system,50,2
multiple,2,3
electrical,2,3
prevent,50,2
way,2,3
visible,50,2
indicate,2,3
weight,2,3
resulting,2,3
SUVs,2,3
tax,2,3
seats.,2,3
large,2,3
requirements,50,2
standard,50,2
tests,2,3
private,2,2
urban,2,3
While,50,2
cultural,52,2
report,50,2
potential,50,2
recent,2,1
related,50,2
go,50,2
principles,50,2
software,50,2
experienced,52,2
sharing,2,2
level,2,1
movement,50,2
study,50,2
Foundation.,9,1
get,50,2
helps,50,2
track,50,2
hope,50,2
links,50,2
try,50,2
policy,30,2
exist.,39,2
submit,39,2
redirect,39,2
consider,39,2
topic,39,2
covered.,39,2
wish,47,1
why,50,2
No,50,2
Commons,50,3
disclosure,50,3
nonpublic,50,3
sell,50,3
terms,50,3
pixels,50,3
just,50,3
find,50,3
explained,50,3
below.,50,3
cover,50,3
process,50,3
(like,50,3
parties,50,3
section,50,3
relevant,50,3
obligations,50,3
permitted,50,3
exceptions,52,2
seen,50,3
signed,50,3
actively,50,2
aware,50,3
infer,50,3
choose,50,3
cases,50,2
communities,52,2
demographics,50,3
intended,50,2
settings,50,3
location.,50,3
them.,50,2
practices,50,3
fight,50,3
tools,50,3
interaction,50,2
services.,50,3
accordance,50,3
users.,50,3
activities,50,2
kinds,50,3
Notifications,50,3
Preferences,50,3
stated,50,3
notice,50,3
changes,50,3
policy.,50,3
consistent,50,3
investigate,50,3
person,52,2
employees,52,2
put,50,3
treat,50,2
guarantee,50,3
measures,50,3
respect,52,2
located,50,3
environments,52,3
behaviour.,52,3
board,52,3
towards,52,3
primarily,2,1
seat,2,2
Nicolas-Joseph,2,2
Cugnot,2,2
Swiss,2,2
François,2,2
Isaac,2,2
constructed,2,2
car—a,2,2
marketable,2,2
everyday,2,2
invented,2,2
widely,2,2
affordable,2,2
T,2,2
manufactured,2,2
adopted,2,2
replaced,2,2
automobiles,2,2
World,2,2
War,2,2
essential,2,1
comfort,2,2
Over,2,2
complex.,2,2
conditioning,2,2
navigation,2,2
in-car,2,2
entertainment.,2,2
buy,2,2
mitigation,2,2
solutions,2,2
acquiring,2,2
repairs,2,2
depreciation,2,2
fees,2,2
congestion,2,2
disposing,2,2
collisions,2,2
injury-related,2,2
deaths,2,2
worldwide.[10],2,2
on-demand,2,2
independence,2,2
Societal,2,2
job,2,2
wealth,2,2
provision,2,2
leisure,2,2
opportunities,2,2
generation,2,2
ability,2,2
flexibly,2,2
far-reaching,2,2
implications,2,2
nature,2,2
societies.[12],2,2
billion,2,2
worldwide.,2,1
Car,2,2
especially,2,1
Latin,2,2
wheeled,2,2
North,2,2
cart,2,2
carriage,2,2
formal,2,1
term,2,1
meaning,2,1
self-propelled,2,2
Automobile,2,2
compound,2,2
derived,2,2
Club,2,2
fell,2,2
commonly,2,1
member,2,1
unable,2,2
building,2,2
mechanical,2,2
He,2,2
inventions,2,2
water,2,2
demonstrated,2,2
little,2,2
19th,2,2
1807,2,2
fuelled,2,2
mixture,2,2
Lycopodium,2,2
dust,2,2
successful,2,2
case,2,1
Samuel,2,2
November,2,2
three-wheeled,2,2
electricity,2,2
working,2,1
1879,2,2
Germany.,2,2
Cie.,2,2
25,2,1
1888,2,2
along,2,1
cheaper,2,2
Roger,2,2
trip,2,2
prove,2,2
1896,2,2
1899,2,2
central,2,1
1890,2,2
1892,2,2
By,2,1
work.,2,1
merger,2,1
named,2,2
number,2,2
race,2,2
1902,2,2
DMG,2,2
completed,2,2
2,2,2
kilometres,2,2
(1,2,2
Charles,2,2
After,2,1
running,2,2
Duryea,2,2
took,2,1
started,2,2
build,2,2
success,2,2
Thomas,2,2
having,2,2
Company,2,2
engines.,2,1
few,2,2
conventional,2,2
manufacturing,2,2
pioneered,2,2
mass,2,2
interchangeable,2,2
greatly,2,2
expanded,2,2
beginning,2,2
1913,2,2
much,2,2
previous,2,2
methods,2,1
1,2,2
Only,2,2
black,2,2
source,2,1
allowing,2,2
combination,2,2
copied,2,1
rise,2,1
US.,2,2
forced,2,2
pace,2,2
worldwide,2,2
1923,2,2
Citroën,2,2
native,2,1
risk,2,2
1930,2,2
Key,2,1
developments,2,2
included,2,1
ignition,2,2
Cadillac,2,2
suspension,2,2
1920s,2,2
meet,2,2
needs,2,2
marketing,2,1
plans,2,2
established,2,2
makes,2,2
larger,2,2
resulted,2,2
lower,2,2
doors,2,2
windows,2,2
makers,2,2
afford,2,2
Morris,2,2
1924,2,2
soon,2,2
follow,2,1
integration,2,2
buying,2,2
1925,2,2
coming,2,1
Opel,2,2
top,2,1
Mitsubishi,2,2
Fiat,2,2
Toyota,2,2
decision,2,1
world.,2,1
together,2,1
sector,2,2
burnt,2,2
says,2,1
petrol-fuelled,2,2
late,2,2
ban,2,2
older,2,2
laws,2,1
greenhouse,2,2
plug-in,2,2
2021,2,1
speed,2,2
common,2,1
21st,2,2
wheel,2,2
almost,2,2
regenerative,2,2
braking,2,2
friction,2,2
disc,2,2
emergency,2,2
city,2,2
pedals,2,2
operating,2,1
transmission,2,1
clutch,2,2
cars',2,2
evolving,2,2
Another,2,2
increasingly,2,2
earlier,2,2
portable,2,2
on-board,2,2
More,2,2
seats,2,2
damage,2,1
fitted,2,2
illuminate,2,2
area,2,1
(e.g.,2,2
usually,2,1
steel,2,2
Heavier,2,2
performance,2,2
pedestrian,2,2
materials,2,2
aluminium,2,2
charging,2,2
lighter,2,2
occupants,2,2
five,2,2
utility,2,2
depending,2,1
cargo,2,2
space,2,2
alternatives,2,2
value,2,2
usage.,2,2
dates,2,1
Similarly,2,1
although,2,1
ways,2,1
driven,2,2
however,2,1
purchase,2,2
polluting,2,2
incentive,2,2
smaller,2,2
lifetime,2,2
2019,2,2
far,2,2
bad,2,1
banned,2,2
intensive,2,2
similar,2,1
popularity,2,2
Animals,2,2
affected,2,1
habitat,2,2
50,2,2
every,2,1
wildlife,2,2
congested,2,2
States,2,2
low-income,2,2
order,2,1
exist,2,1
monetary,2,1
developing,2,1
open-source,2,1
Services,2,1
offer,2,1
then,2,1
consuming,2,2
despite,2,1
social,2,1
likely,2,1
introducing,2,1
Thank,9,1
supporting,9,2
means,9,1
don't,9,2
join,9,2
us.,9,1
log,9,1
options,9,1
contributions.,9,1
project,9,1
searching,29,1
feedback,30,1
talk,30,1
page.,30,1
Wikisource,32,2
recommend,32,1
subpages,32,2
title,32,1
articles,32,1
reason,32,1
items,37,1
deleted,47,1
circumvented,50,1
eroded,50,1
ignored,50,1
officers,50,1
staff,50,1
collaborative,50,2
websites,50,2
explains,50,2
simple,50,2
non-profit,50,2
hosts,50,1
processing,50,2
storage,50,2
reading,50,2
carefully,50,2
movement.,50,1
rent,50,2
accessible,50,1
learning,50,2
Put,50,2
wants,50,1
might,50,2
Terms,50,2
able,50,2
throughout,50,2
here,50,1
Except,50,2
covers,50,2
covered,50,2
Sometimes,50,2
knowledge.,50,1
handle,50,2
come,50,2
across,50,2
remove,50,2
add,50,1
protections,50,2
everyone.,50,2
pages,50,2
record,50,2
removed,50,2
in).,50,2
Use,50,2
Like,50,2
people.,50,1
revealing,50,2
anyone,50,1
Site.,50,2
(although,50,2
feature,50,2
attributed,50,2
address.,50,2
Want,50,2
account?,50,2
Do,50,2
read,50,2
password.,50,2
addresses,50,2
Once,50,2
accounts,50,2
circumstances,50,2
projects.,50,2
gender,50,1
age,50,1
tell,50,2
completely,50,2
optional.,50,2
GPS,50,2
app,50,2
signals,50,2
sent,50,2
(or,50,2
proxy,50,2
server),50,2
geographical,50,2
easier,50,2
customizable,50,2
helpful,50,2
loads,50,2
versions,50,2
browser,50,2
browser's,50,2
optimize,50,2
applications,50,2
customize,50,2
JavaScript,50,2
best,50,2
purposes.,50,2
Depending,50,2
ever,50,2
disable,50,2
data.,50,2
actions,50,2
taken,50,2
purpose,50,2
engage,50,2
relationship,50,2
instances,50,2
send,50,2
User,50,2
profile.,50,2
identify,50,1
reminder,50,2
visiting,50,2
anonymized,50,2
areas.,50,2
support,50,2
guidelines.,50,2
possible.,50,1
law,50,2
themselves,50,2
calendar,50,2
contacting,50,1
unlikely,50,2
ownership,50,2
becomes,50,2
subject,50,2
mailing,50,2
actions.,50,2
writing,50,2
activity,50,2
behavior,50,2
user-selected,50,2
confidentiality,50,2
guidelines,50,1
agree,50,2
logged,50,2
public.,50,2
(Check,50,2
consistently,50,2
users',50,2
findings,50,2
reasonable,50,1
FAQ.),50,2
unauthorized,50,2
disclosure.,50,2
strive,50,1
privacy@wikimedia.org,50,2
days.,50,2
retention,50,2
removal,50,2
protection,50,2
Economic,50,2
Area,50,2
delete,50,2
representative,50,2
mail,50,2
at:,50,2
authority,50,2
takes,50,1
June,50,2
Board,50,1
(UCoC),52,2
minimum,52,2
unacceptable,52,2
offline,52,2
functionaries,52,2
within,52,2
Wikimedians,52,2
intimidate,52,2
Harassment,52,2
position,52,2
Paragraphs,1,1
wheels.,2,1
definitions,2,1
state,2,1
eight,2,1
wheels,2,1
mainly,2,1
cargo.[1][2],2,1
1769,2,1
combustion-powered,2,1
1808.,2,1
use—was,2,1
Patent-Motorwagen.,2,1
Commercial,2,1
century.,2,1
One,2,1
masses,2,1
begun,2,1
1908,2,1
Company.,2,1
carriages.[3],2,1
demand,2,1
II.[4],2,1
economy.,2,1
lamps.,2,1
progressively,2,1
rear-reversing,2,1
cameras,2,1
propelled,2,1
fueled,2,1
fuels.,2,1
Electric,2,1
commercially,2,1
2000s,2,1
predicted,2,1
2025.[5][6],2,1
transition,2,1
fuel-powered,2,1
prominently,2,1
scenarios,2,1
[7],2,1
Project,2,1
Drawdown's,2,1
actionable,2,1
change.[8],2,1
payments,2,1
financed),2,1
insurance.[9],2,1
land-use,2,1
life.,2,1
convenience.[11],2,1
societal,2,1
well-being,2,1
taxation.,2,1
People's,2,1
India,2,1
newly,2,1
industrialised,2,1
countries.[13],2,1
word,2,1
originate,2,1
carrus/carrum,2,1
(via,2,1
Old,2,1
French),2,1
Middle,2,1
carre,2,1
two-wheeled,2,1
derive,2,1
Gaulish,2,1
karros,2,1
chariot.[14][15],2,1
originally,2,1
wagon.[16][17],2,1
usual,2,1
English.[2],2,1
Autocar,2,1
variant,2,1
likewise,2,1
literally,2,1
archaic.[18],2,1
Horseless,2,1
1895.[19],2,1
classical,2,1
Ancient,2,1
Greek,2,1
autós,2,1
(αὐτός),2,1
self,2,1
mobilis,2,1
movable,2,1
entered,2,1
1897.[20],2,1
favour,2,1
chiefly,2,1
America,2,1
[21],2,1
abbreviated,2,1
appears,2,1
adjective,2,1
formations,2,1
mechanic.[22][23],2,1
Ferdinand,2,1
Verbiest,2,1
Flemish,2,1
Jesuit,2,1
1672.,2,1
65-centimetre-long,2,1
(26,2,1
scale-model,2,1
toy,2,1
Kangxi,2,1
Emperor,2,1
passenger.[11][26][27],2,1
certainty,2,1
Verbiest's,2,1
successfully,2,1
run.[27],2,1
credited,2,1
full-scale,2,1
1769;,2,1
tricycle.[28],2,1
tractors,2,1
Army,2,1
preserved,2,1
National,2,1
Conservatory,2,1
Arts,2,1
Crafts.[28],2,1
problems,2,1
supply,2,1
pressure.[28],2,1
1801,2,1
Richard,2,1
Trevithick,2,1
Puffing,2,1
Devil,2,1
locomotive,2,1
demonstration,2,1
sufficient,2,1
pressure,2,1
periods,2,1
external,2,1
(steam),2,1
detailed,2,1
treated,2,1
separately,2,1
true,2,1
buses,2,1
phaetons,2,1
rollers.,2,1
sentiment,2,1
Locomotive,2,1
Acts,2,1
1865.,2,1
Nicéphore,2,1
Niépce,2,1
brother,2,1
Claude,2,1
probably,2,1
(which,2,1
Pyréolophore),2,1
installed,2,1
boat,2,1
river,2,1
Saone,2,1
France.[29],2,1
Coincidentally,2,1
engine.,2,1
Niépces',2,1
Pyréolophore,2,1
powder,2,1
(dried,2,1
spores,2,1
plant),2,1
finely,2,1
crushed,2,1
coal,2,1
resin,2,1
mixed,2,1
whereas,2,1
oxygen.[29],2,1
Neither,2,1
Brown,2,1
Morey,2,1
Etienne,2,1
Lenoir,2,1
[30],2,1
(usually,2,1
adapted,2,1
carriages,2,1
carts),2,1
engines.[31],2,1
1881,2,1
Gustave,2,1
Trouvé,2,1
Exposition,2,1
Electricity.[32],2,1
engineers,2,1
(including,2,1
Gottlieb,2,1
Wilhelm,2,1
Siegfried,2,1
Marcus),2,1
regarded,2,1
use—when,2,1
Patent-Motorwagen;,2,1
acknowledged,2,1
car.[31][33][34],2,1
1878.,2,1
feasible,2,1
powering,2,1
Motorwagen,2,1
1885,2,1
Mannheim,2,1
awarded,2,1
invention,2,1
29,2,1
January,2,1
(under,2,1
auspices,2,1
1883).,2,1
promotion,2,1
July,2,1
four-wheeler,2,1
introduced,2,1
model.,2,1
four-stroke,2,1
Emile,2,1
license,2,1
products.,2,1
initially,2,1
August,2,1
Bertha,2,1
wife,2,1
undertook,2,1
road-worthiness,2,1
her,2,1
husband's,2,1
invention.,2,1
internal-combustion,2,1
flat,2,1
boxermotor.,2,1
last,2,1
572,2,1
units,2,1
size,2,1
joint-stock,2,1
company.,2,1
factory-made,2,1
Czech,2,1
Nesselsdorfer,2,1
Wagenbau,2,1
(later,2,1
renamed,2,1
Tatra),2,1
Präsident,2,1
automobil.,2,1
Motoren,2,1
Gesellschaft,2,1
(DMG),2,1
Cannstatt,2,1
Daimler.,2,1
stagecoach,2,1
retrofitted,2,1
Hotel,2,1
Hermann,2,1
shop,2,1
disputes,2,1
backers.,2,1
team,2,1
seem,2,1
unaware,2,1
other's,2,1
worked,2,1
together;,2,1
DMG.,2,1
died,2,1
1900,2,1
Daimler-Mercedes,2,1
specially,2,1
ordered,2,1
specifications,2,1
Emil,2,1
Jellinek.,2,1
Jellinek,2,1
country.,2,1
Two,2,1
Mercedes,2,1
generated,2,1
35,2,1
hp.,2,1
quit,2,1
shortly,2,1
thereafter,2,1
opened,2,1
business,2,1
own.,2,1
Rights,2,1
manufacturers.,2,1
Émile,2,1
Levassor,2,1
Armand,2,1
laid,2,1
foundation,2,1
France.,2,1
1891,2,1
Auguste,2,1
Doriot,2,1
colleague,2,1
Louis,2,1
Rigoulot,2,1
longest,2,1
self-designed,2,1
Type,2,1
300,2,1
mi),2,1
Valentigney,2,1
Paris,2,1
Brest,2,1
back,2,1
again.,2,1
attached,2,1
Paris–Brest–Paris,2,1
bicycle,2,1
finished,2,1
winning,2,1
cyclist,2,1
Terront.,2,1
1877,2,1
George,2,1
Rochester,2,1
York.,2,1
applied,2,1
expired,2,1
built.,2,1
delay,2,1
series,2,1
attachments,2,1
5,2,1
(U.S.,2,1
549,2,1
160),2,1
two-stroke,2,1
hindered,2,1
encouraged,2,1
States.,2,1
challenged,2,1
overturned,2,1
1911.,2,1
road-tested,2,1
brothers,2,1
Massachusetts.,2,1
Wagon,2,1
21,2,1
September,2,1
Taylor,2,1
Street,2,1
Metro,2,1
Center,2,1
Springfield.[35][36],2,1
Studebaker,2,1
subsidiary,2,1
long-established,2,1
wagon,2,1
coach,2,1
1897[37]:,2,1
66,2,1
commenced,2,1
1904.[38],2,1
attempts,2,1
varying,2,1
degrees,2,1
Rickett,2,1
attempting,2,1
1860.[39],2,1
Santler,2,1
Malvern,2,1
recognised,2,1
Veteran,2,1
1894,2,1
[40],2,1
Frederick,2,1
William,2,1
Lanchester,2,1
one-offs.[40],2,1
Harry,2,1
J.,2,1
Lawson,2,1
purchasing,2,1
Lawson's,2,1
bore,2,1
Daimler.[40],2,1
engineer,2,1
Rudolf,2,1
Diesel,2,1
Rational,2,1
Combustion,2,1
Engine.,2,1
engine.[31],2,1
Steam-,2,1
electric-,2,1
competed,2,1
achieving,2,1
dominance,2,1
1910s.,2,1
pistonless,2,1
rotary,2,1
attempted,2,1
compete,2,1
piston,2,1
crankshaft,2,1
Mazda's,2,1
Wankel,2,1
success.,2,1
All,2,1
estimated,2,1
patents,2,1
motorcycle.[41],2,1
Large-scale,2,1
production-line,2,1
Ransom,2,1
Olds,2,1
1901,2,1
Oldsmobile,2,1
factory,2,1
Lansing,2,1
Michigan,2,1
upon,2,1
stationary,2,1
techniques,2,1
Marc,2,1
Isambard,2,1
Brunel,2,1
Portsmouth,2,1
Block,2,1
Mills,2,1
England,2,1
1802.,2,1
style,2,1
Blanchard,2,1
1821,2,1
Armory,2,1
Massachusetts.[42],2,1
concept,2,1
moving,2,1
Highland,2,1
Park,2,1
Plant.,2,1
15-minute,2,1
intervals,2,1
faster,2,1
productivity,2,1
eightfold,2,1
manpower,2,1
(from,2,1
12.5,2,1
manhours,2,1
hour,2,1
33,2,1
minutes).[43],2,1
paint,2,1
bottleneck.,2,1
dry,2,1
fast,2,1
enough,2,1
forcing,2,1
drop,2,1
colours,2,1
fast-drying,2,1
Duco,2,1
lacquer,2,1
1926.,2,1
apocryphal,2,1
remark,2,1
color,2,1
it's,2,1
black.[43],2,1
1914,2,1
months',2,1
pay.[43],2,1
complex,2,1
procedures—especially,2,1
assigning,2,1
roam,2,1
about—dramatically,2,1
reduced,2,1
rate,2,1
injury.[44],2,1
wages,2,1
Fordism,2,1
industries.,2,1
gains,2,1
coincided,2,1
workers,2,1
repetitive,2,1
motions,2,1
output,2,1
productive,2,1
methods.,2,1
dominating,2,1
quickly,2,1
spread,2,1
seeing,2,1
founding,2,1
1911,2,1
Denmark,2,1
1925;,2,1
1921,2,1
adopt,2,1
method.,2,1
Soon,2,1
lines,2,1
broke;,2,1
250,2,1
disappeared.[43],2,1
Development,2,1
hundreds,2,1
competing,2,1
attention.,2,1
self-starter,2,1
(both,2,1
Kettering,2,1
1910–1911),2,1
independent,2,1
four-wheel,2,1
brakes.,2,1
Since,2,1
nearly,2,1
mass-produced,2,1
heavily,2,1
influenced,2,1
Alfred,2,1
P.,2,1
Sloan,2,1
idea,2,1
General,2,1
Motors,2,1
Companion,2,1
Make,2,1
Program,2,1
buyers,2,1
fortunes,2,1
improved.,2,1
Reflecting,2,1
price,2,1
range.,2,1
1930s,2,1
LaSalles,2,1
Oldsmobile;,2,1
1950s,2,1
Chevrolet,2,1
bonnet,2,1
roof,2,1
Pontiac;,2,1
1990s,2,1
corporate,2,1
powertrains,2,1
platforms,2,1
(with,2,1
parts),2,1
common.,2,1
Even,2,1
Apperson,2,1
Cole,2,1
Dorris,2,1
Haynes,2,1
Premier,2,1
manage:,2,1
hundred,2,1
existence,2,1
1920,2,1
43,2,1
survived,2,1
Depression,2,1
1940,2,1
17,2,1
left.[43],2,1
happen.,2,1
Cowley,2,1
outsold,2,1
practice,2,1
vertical,2,1
Hotchkiss,2,1
(engines),2,1
Wrigley,2,1
(gearboxes),2,1
Osberton,2,1
(radiators),2,1
instance,2,1
competitors,2,1
Wolseley:,2,1
41,2,1
total,2,1
production.,2,1
small-car,2,1
assemblers,2,1
Abbey,2,1
Xtra,2,1
gone,2,1
under.,2,1
1919;,2,1
cheap,2,1
reply,2,1
Renault's,2,1
10CV,2,1
Peugeot's,2,1
5CV,2,1
550,2,1
Mors,2,1
Hurtu,2,1
compete.[43],2,1
Germany's,2,1
mass-manufactured,2,1
4PS,2,1
Laubfrosch,2,1
(Tree,2,1
Frog),2,1
Rüsselsheim,2,1
builder,2,1
37.5,2,1
market.[43],2,1
II.,2,1
handful,2,1
commercial,2,1
Daihatsu,2,1
partnering,2,1
Isuzu,2,1
Wolseley,2,1
A-9,2,1
1922.,2,1
partnered,2,1
Nissan,2,1
Suzuki,2,1
Mazda,2,1
Honda,2,1
non-automotive,2,1
war,2,1
switching,2,1
1950s.,2,1
Kiichiro,2,1
Toyoda's,2,1
Toyoda,2,1
Loom,2,1
Works,2,1
eventually,2,1
Corporation,2,1
Subaru,2,1
meanwhile,2,1
formed,2,1
conglomerate,2,1
banded,2,1
